Scientific,Diet.5Cat,BodyMass.Value
Empidonomus varius,Invertebrate,27.1
Columbina talpacoti,PlantSeed,46.04
Tangara cayana,FruiNect,18
Tachyphonus coronatus,FruiNect,29.3
Pachyramphus validus,Invertebrate,43
Cyanocorax cristatellus,Omnivore,178
Camptostoma obsoletum,Invertebrate,8.1
Myiodynastes maculatus,Invertebrate,43.2
Euphonia chlorotica,FruiNect,11
Mimus saturninus,Invertebrate,63.7
Cnemotriccus fuscatus,Invertebrate,13.6
Pitangus sulphuratus,Omnivore,62.85
Cyclarhis gujanensis,Invertebrate,28.8
Dacnis cayana,FruiNect,13
Xolmis velatus,Invertebrate,49.08
Vireo chivi,Invertebrate,16.06
Tyrannus melancholicus,Invertebrate,37.4
Brotogeris chiriri,PlantSeed,61.6
Colaptes melanochloros,Invertebrate,127.27
Zonotrichia capensis,PlantSeed,20.31
Megarynchus pitangua,Invertebrate,69.91
Piaya cayana,Invertebrate,101.98
Gnorimopsar chopi,Omnivore,65.9
Molothrus bonariensis,Invertebrate,41.49
Nemosia pileata,Invertebrate,16
Euphonia violacea,FruiNect,15
Euphonia cyanocephala,FruiNect,14
Conirostrum speciosum,Invertebrate,8.8
Myiozetetes similis,Invertebrate,28
Tersina viridis,FruiNect,29
Melanerpes candidus,Invertebrate,108
Colaptes campestris,Invertebrate,158
Myiarchus ferox,Invertebrate,27.5
Basileuterus flaveolus,Invertebrate,13.19
Forpus xanthopterygius,PlantSeed,31
Saltator similis,Omnivore,43.3
Nystalus chacuru,Invertebrate,52.3
Dryocopus lineatus,Invertebrate,183.19
Turdus leucomelas,Omnivore,69.1
Turdus rufiventris,Omnivore,69.44
Tangara sayaca,FruiNect,32.49
Turdus amaurochalinus,Omnivore,57.9
Patagioenas picazuro,PlantSeed,279
